1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2190.25,0.0,4.0,No,1219,Rec,816,484.0,None,1975.0,2515,TA,17695.875,70.0,0.0,0.0,3,6,2035.0,1957,1975,200624
958.0,620.0,3.0,No,403,BLQ,238,240.0,Unf,1941.0,1578,Fa,9490.0,79.0,0.0,0.0,7,6,806.0,1941,1950,133000
979.0,224.0,3.0,No,185,LwQ,524,352.0,Unf,1950.0,1203,Gd,7015.0,70.0,161.0,0.0,4,5,709.0,1950,1950,110000
1156.0,866.0,4.0,No,392,BLQ,768,505.0,Fin,1977.0,2022,TA,10005.0,83.0,299.0,117.0,5,7,1160.0,1977,1977,192000
525.0,0.0,3.0,No,0,Unf,525,264.0,Unf,1971.0,1092,TA,1680.0,33.0,381.0,0.0,5,6,525.0,1971,1971,88000
1022.0,0.0,2.0,No,247,None,310,280.0,Unf,1956.0,1022,TA,7200.0,60.0,0.0,30.0,4,5,1022.0,1910,2006,85000
1464.0,0.0,3.0,Gd,929,GLQ,556,754.0,Unf,2007.0,1464,Gd,15256.0,49.0,84.0,160.0,5,8,1485.0,2007,2007,282922
780.0,595.0,3.0,No,0,None,780,544.0,Unf,1979.0,1375,Gd,9000.0,50.0,0.0,162.0,6,6,780.0,1937,1950,141000
2190.25,1746.875,4.0,Av,2096,GLQ,300,813.0,Fin,1996.0,4476,Ex,15623.0,105.0,0.0,78.0,5,10,2202.875,1996,1996,745000
551.0,551.0,2.0,No,239,GLQ,312,480.0,Unf,2004.0,1102,Gd,5105.0,70.0,0.0,60.0,5,7,551.0,2004,2004,148800
1352.0,0.0,2.0,No,0,Unf,1352,466.0,None,2006.0,1352,Gd,4230.0,47.0,0.0,166.875,5,7,1352.0,2006,2007,208900
1680.0,0.0,4.0,No,0,Unf,1680,528.0,Unf,1976.0,1680,TA,11500.0,70.0,164.0,0.0,6,5,1680.0,1976,1976,136905
1005.0,978.0,3.0,No,694,GLQ,284,490.0,Fin,1999.0,1983,Gd,10762.0,70.0,344.0,0.0,5,7,978.0,1999,1999,225000
900.0,0.0,3.0,Av,769,ALQ,95,288.0,RFn,1967.0,900,TA,7838.0,68.0,0.0,144.0,5,5,864.0,1967,1967,123000
1082.0,0.0,2.0,No,336,BLQ,746,240.0,Unf,1948.0,1082,TA,11664.0,60.0,206.0,130.0,5,6,1082.0,1948,1950,119200
